year,richter,region,deaths,lon,lat
1,6,Belarus,384610.0,27.3,53.52
2,7,Belarus,1043340.0,27.3,53.52
3,6,Belarus,314580.0,27.3,53.52
4,6,Belarus,201030.0,27.3,53.52
5,6,Belarus,228930.0,27.3,53.52
6,6,Belarus,128260.0,27.3,53.52
7,6,Belarus,101030.0,27.3,53.52
8,5,Belarus,88680.0,27.3,53.52
9,6,Belarus,111640.0,27.3,53.52
10,6,Belarus,111830.0,27.3,53.52
11,6,Belarus,115030.0,27.3,53.52
12,6,Belarus,120310.0,27.3,53.52
1,7,Belgium,8602490.0,4.21,50.51
2,7,Belgium,2026880.0,4.21,50.51
3,7,Belgium,2986060.0,4.21,50.51
4,7,Belgium,2240350.0,4.21,50.51
5,7,Belgium,1028980.0,4.21,50.51
6,7,Belgium,1159820.0,4.21,50.51
7,7,Belgium,2595410.0,4.21,50.51
8,6,Belgium,664680.0,4.21,50.51
9,6,Belgium,889390.0,4.21,50.51
10,7,Belgium,1440450.0,4.21,50.51
11,7,Belgium,1256120.0,4.21,50.51
12,6,Belgium,738420.0,4.21,50.51
1,6,Belize,135000.0,-88.3,17.18
2,5,Belize,25020.0,-88.3,17.18
3,5,Belize,16700.0,-88.3,17.18
4,5,Belize,14920.0,-88.3,17.18
5,5,Belize,24960.0,-88.3,17.18
6,5,Belize,42980.0,-88.3,17.18
7,5,Belize,32340.0,-88.3,17.18
8,5,Belize,13890.0,-88.3,17.18
9,4,Belize,9320.0,-88.3,17.18
10,5,Belize,16800.0,-88.3,17.18
11,5,Belize,15970.0,-88.3,17.18
12,5,Belize,23160.0,-88.3,17.18
1,4,Benin,4140.0,2.42,6.23
2,3,Benin,630.0,2.42,6.23
3,4,Benin,3850.0,2.42,6.23
4,4,Benin,5870.0,2.42,6.23
5,4,Benin,1440.0,2.42,6.23
6,4,Benin,2640.0,2.42,6.23
7,4,Benin,2300.0,2.42,6.23
8,4,Benin,1740.0,2.42,6.23
9,4,Benin,1480.0,2.42,6.23
10,0,Benin,0.0,2.42,6.23
11,4,Benin,1220.0,2.42,6.23
12,4,Benin,5160.0,2.42,6.23
1,5,Bhutan,40570.0,89.45,27.31
2,5,Bhutan,70330.0,89.45,27.31
3,6,Bhutan,129420.0,89.45,27.31
4,6,Bhutan,152400.0,89.45,27.31
5,5,Bhutan,20730.0,89.45,27.31
6,5,Bhutan,29270.0,89.45,27.31
7,5,Bhutan,27340.0,89.45,27.31
8,5,Bhutan,30390.0,89.45,27.31
9,5,Bhutan,28690.0,89.45,27.31
10,5,Bhutan,23790.0,89.45,27.31
11,5,Bhutan,14350.0,89.45,27.31
12,5,Bhutan,31360.0,89.45,27.31
1,7,Bolivia,1527880.0,-68.1,-16.2
2,6,Bolivia,371300.0,-68.1,-16.2
3,6,Bolivia,224920.0,-68.1,-16.2
4,6,Bolivia,135130.0,-68.1,-16.2
5,6,Bolivia,220000.0,-68.1,-16.2
6,6,Bolivia,335730.0,-68.1,-16.2
7,7,Bolivia,1110320.0,-68.1,-16.2
8,6,Bolivia,475430.0,-68.1,-16.2
9,6,Bolivia,205720.0,-68.1,-16.2
10,6,Bolivia,153120.0,-68.1,-16.2
11,6,Bolivia,261890.0,-68.1,-16.2
12,6,Bolivia,591210.0,-68.1,-16.2
1,6,Bosnia and Herzegovina,426290.0,18.26,43.52
2,6,Bosnia and Herzegovina,119360.0,18.26,43.52
